threads,personalized,cores,count,average,median,quantil,min,max,err,rate
25,0,1,16797,13,4,7,2,1116,0.0000,281.3
25,0,2,16972,10,3,5,1,882,0.0000,284.3
25,0,3,16963,10,3,6,1,694,0.0000,283.4
25,1,1,2451,596,578,714,22,1776,0.0000,40.2
25,1,2,4802,287,227,590,5,1654,0.0000,79.2
25,1,3,6925,202,108,509,6,1270,0.0000,114.5
25,2,1,15977,18,5,10,2,939,0.0035,267.5
25,2,2,16426,17,4,9,1,683,0.0034,275.0
25,2,3,16862,13,4,9,2,623,0.0029,282.6
50,0,1,16368,23,4,11,2,818,0.0000,274.0
50,0,2,16289,19,3,12,1,716,0.0000,273.6
50,0,3,17149,12,4,7,1,520,0.0000,287.9
50,1,1,2348,1261,1229,1667,27,3148,0.0000,38.2
50,1,2,4729,620,400,1300,4,2839,0.0000,74.5
50,1,3,7248,399,132,1105,6,2644,0.0000,116.0
50,2,1,16162,33,5,18,2,914,0.0030,271.1
50,2,2,15828,25,4,21,2,796,0.0030,265.3
50,2,3,16459,21,5,10,2,2682,0.0029,276.0
100,0,1,17326,51,5,190,2,1346,0.0000,291.9
100,0,2,17269,24,4,17,1,1007,0.0000,291.6
100,0,3,17429,20,4,15,1,1010,0.0000,293.6
100,1,1,2324,2566,2459,3309,25,5717,0.0000,36.0
100,1,2,4549,1296,478,2813,5,5627,0.0000,69.0
100,1,3,6859,841,162,2481,6,7044,0.0000,106.6
100,2,1,17263,81,6,241,2,3018,0.0034,286.5
100,2,2,18152,32,5,31,2,1498,0.0028,305.5
100,2,3,20429,26,5,18,2,1401,0.0035,331.4
400,0,1,21089,140,6,496,2,3277,0.0000,359.7
400,0,2,26724,41,4,84,2,1545,0.0000,461.8
400,0,3,28567,32,4,23,0,1524,0.0002,490.7
400,1,1,2640,8834,9813,10934,26,20389,0.0000,31.5
400,1,2,5070,4435,2036,10145,4,19982,0.0000,61.9
400,1,3,7262,2619,1118,7670,0,17572,0.0014,93.5
400,2,1,20133,229,9,1006,2,7149,0.0028,347.6
400,2,2,26089,71,5,205,2,3016,0.0029,444.7
400,2,3,28106,40,5,58,0,1854,0.0046,490.6
800,0,1,7579,156,10,481,3,4539,0.0000,118.7
800,0,2,22155,57,4,100,0,3185,0.0084,395.2
800,0,3,23504,26,4,22,0,1455,0.0147,437.6
800,1,1,3242,14947,19527,20412,1,25570,0.0935,33.0
800,1,2,5177,5840,4827,11902,0,21294,0.0139,60.2
800,1,3,7446,2683,2284,5657,0,13689,0.0549,103.5
800,2,1,5594,205,11,522,3,3464,0.0014,84.1
800,2,2,22266,95,5,356,0,1978,0.0157,407.3
800,2,3,25038,39,5,78,0,1645,0.0231,470.3
