threads, count, average, median, quantil, min, max, err, rate
25, 21838, 13, 5, 15, 1, 683, 0.00000, 409.4
50, 30717, 50, 7, 158, 1, 769, 0.00000, 510.2
100, 35400, 127, 8, 379, 1, 1841, 0.00000, 566.4
150, 32944, 199, 16, 636, 1, 1857, 0.00000, 538.7
200, 32915, 310, 19, 969, 1, 3187, 0.00000, 536.9
250, 32867, 360, 80, 1064, 1, 2938, 0.00000, 521.6
300, 34581, 476, 213, 1274, 1, 2497, 0.00000, 550.6
350, 36212, 528, 226, 1318, 1, 15246, 0.00000, 503.3
400, 34463, 577, 232, 1340, 1, 15193, 0.00000, 391.6
450, 37636, 661, 258, 1386, 1, 31434, 0.00000, 388.6
500, 37325, 691, 223, 1320, 1, 31818, 0.00000, 374.0
\ 550, 38250, 881, 265, 1420, 1, 60843, 0.00178, 261.4
600, 40394, 935, 259, 1550, 0, 50341, 0.01713, 312.7
700, 40090, 1153, 269, 1407, 1, 68869, 0.00743, 251.1
800, 37091, 1537, 237, 1678, 1, 104625, 0.02022, 144.5
900, 37196, 1637, 267, 1802, 2, 96836, 0.01600, 176.4
